parent_node,child_node
"{'object_name': '/workspaces/df-data-lineage/data/in/acct_positions_20241226.csv', 'object_type': 'local delim file', 'complex_object': False, 'node_type': 'feed'}","{'object_name': 'workflow_2', 'object_type': 'ingestion', 'complex_object': False, 'node_type': 'process'}"
"{'object_name': 'workflow_2', 'object_type': 'ingestion', 'complex_object': False, 'node_type': 'process'}","{'object_name': 'dl_asset_mgmt.tacct_pos', 'object_type': 'spark table', 'complex_object': False, 'node_type': 'dataset'}"
